ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	A3.1.day157_1	A3.1.day98_1	A3.2.day157_1	A3.2.day98_1	E3.1.day157	E3.1.day98	E3.2.day157	E3.2.day98
sq1401	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	3	0	7	0	0	0	1	0
sq1402	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	NA	2	7	0	1	0	3	0	0
sq1403	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	NA	0	0	0	0	0	0	0	0
sq1404	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	1	0	5	2	0	0	0	0
sq1405	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	UBA4823	Kmv39	3	0	0	0	0	0	0	0
sq1406	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	7	0	0	0	0	1	0	0
sq1407	Bacteria	Actinomycetota	Humimicrobiia	Humimicrobiales	Humimicrobiaceae	Hydromicrobium	5	0	3	4	0	0	0	0
sq1408	Bacteria	Actinomycetota	Thermoleophilia	Miltoncostaeales	Miltoncostaeaceae	NA	0	0	7	3	0	0	0	7
sq1409	Bacteria	Chloroflexota	Dehalococcoidia	NA	NA	NA	5	0	0	3	0	0	0	1
sq1410	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	9	5	2	0	0	0	0	0
sq1411	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	8	0	0	0	0	0	0	0
sq1412	Bacteria	Planctomycetota	NA	NA	NA	NA	0	12	0	4	0	0	0	0
sq1413	Bacteria	Zixibacteria	MSB-5A5	GN15	PGXB01	NA	1	1	0	0	0	0	0	0
sq1414	Bacteria	Acidobacteriota	NA	NA	NA	NA	1	0	0	0	2	11	0	0
sq1415	Bacteria	Chloroflexota	Anaerolineae	B4-G1	NA	NA	7	0	3	0	0	0	0	1
sq1416	Bacteria	NA	NA	NA	NA	NA	0	0	0	5	0	0	0	0
sq1417	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	NA	NA	1	0	0	0	0	0	0	0
sq1418	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	NA	NA	0	0	0	0	0	0	0	0
sq1419	Bacteria	NA	NA	NA	NA	NA	2	0	0	4	0	0	0	0
sq1420	Bacteria	Planctomycetota	DG-23	SLPQ01	SLPQ01	SLPQ01	3	0	10	1	0	0	0	0
sq1421	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Amphritea	10	2	6	0	0	0	0	0
sq1422	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	NA	NA	0	0	0	1	0	0	0	0
sq1423	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Lacipirellulaceae	Bythopirellula	2	8	0	0	0	0	0	0
sq1424	Bacteria	Aerophobota	Aerophobia	Aerophobales	AE-B3A	AE-B3A	0	0	1	0	0	0	0	0
sq1425	Bacteria	Chloroflexota	Anaerolineae	NA	NA	NA	0	0	0	8	1	0	0	0
sq1426	Bacteria	Atribacterota	JS1	SB-45	34-128	34-128	0	0	0	0	0	0	0	0
sq1427	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	NA	NA	0	0	3	0	0	0	0	0
sq1428	Bacteria	Desulfobacterota_F	JAFDED01	JAFDED01	JAFDED01	JAFDED01	0	0	0	0	0	0	0	1
sq1429	Bacteria	Myxococcota_A	UBA9160	UBA9160	SMWR01	SMWR01	8	7	1	0	0	0	0	3
sq1430	Bacteria	Dependentiae	Babeliae	Babeliales	UASB340	NA	5	1	1	0	0	0	0	2
sq1431	Bacteria	Chloroflexota	Dehalococcoidia	GIF9	UBA5620	VGOF01	2	0	1	0	0	2	0	0
sq1432	Bacteria	Actinomycetota	Actinomycetia	Streptosporangiales	Streptosporangiaceae	Nonomuraea	7	0	2	0	0	0	0	0
sq1433	Bacteria	NA	NA	NA	NA	NA	0	0	0	0	0	10	3	2
sq1434	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	2-12-FULL-41-12	JALHOM01	0	0	1	0	0	0	0	0
sq1435	Bacteria	Chloroflexota	NA	NA	NA	NA	4	1	0	0	0	0	0	0
sq1436	Bacteria	Planctomycetota	Brocadiia	SM23-32	SM23-32	NA	3	0	1	1	0	0	0	0
