ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	A3.1.day157_1	A3.1.day98_1	A3.2.day157_1	A3.2.day98_1	E3.1.day157	E3.1.day98	E3.2.day157	E3.2.day98
sq173	Archaea	Altiarchaeota	Altiarchaeia	IMC4	MCBC01	MCBC01	0	0	0	0	0	0	0	0
sq174	Archaea	Thermoproteota	NA	NA	NA	NA	32	34	28	19	0	2	1	0
sq175	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	SG8-52-3	52	37	85	189	2	10	0	1
sq176	Archaea	Micrarchaeota	Micrarchaeia	Anstonellales	Bilamarchaeaceae	Bilamarchaeum	4	0	3	7	1	1	0	2
sq177	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	NA	34	6	30	20	0	1	0	0
sq178	Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	MK-D1	Prometheoarchaeum	11	0	4	29	0	2	0	0
sq179	Archaea	Thermoproteota	Bathyarchaeia	B26-1	BA1	NA	13	0	3	2	2	0	0	2
sq180	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrosocosmicus	5	17	18	5	1	0	0	0
sq181	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	12	0	4	19	0	1	0	0
sq182	Archaea	Nanohaloarchaeota	Nanosalinia	Nanosalinales	JAFCCC01	JAFCCC01	138	101	65	81	3	1	2	0
sq183	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	JAJISJ01	20	18	29	72	5	12	0	9
sq184	Archaea	Thermoplasmatota	JAEHCK01	JAEHCK01	JAEHCK01	JAEHCK01	53	44	72	114	7	42	4	0
sq185	Archaea	Thermoproteota	Bathyarchaeia	TCS64	TCS64	RBG-16-57-9	22	0	20	17	0	7	0	0
sq186	Archaea	Thermoproteota	Bathyarchaeia	B26-1	NA	NA	8	24	19	18	0	2	0	0
sq187	Archaea	NA	NA	NA	NA	NA	22	24	4	24	1	1	0	2
sq188	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	SM1-50	33	21	19	76	1	17	0	9
sq189	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	ASMP01	30	49	23	46	2	3	1	0
sq190	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	JAJISJ01	33	17	47	181	0	3	1	2
sq191	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	SG8-52-3	28	4	23	85	4	15	3	0
